Item,Qty,Reference(s),Value,Mouser Part Number,,Total Qty
1,1,AE1,Antenna_Chip,NN01-102,,3
2,4,"C1, C12, C13, C14",100n,963-EMK107B7104KAHT,,12
3,3,"C2, C11, C19",4u7,81-GRM188Z71C475KE1J,,9
4,5,"C3, C4, C5, C6, C7",10u,81-GRM188Z71A106KA3D,,15
5,1,C8,1u,187-CL10B105KO8NNND,,3
6,1,C9,100p,603-CC603JRNPO8BN101,,3
7,4,"C10, C15, C16, C18",12p,603-CC603GRNPO9BN120,,12
8,1,C17,0.8p,791-0603N0R8C500CT,,3
9,1,L1,1u,810-TFM160808ALC1R0A,,3
10,1,L2,2u2,739-MGV2520102R2M-10,,3
11,1,L3,15n,609-L-14C15NKV4T,,3
12,1,L4,10u,810-MLZ1608M100WT000,,3
13,1,L5,3.9n,81-LQW18AS3N9J00D,,3
14,2,"R1, R2",5k11,603-RC0603FR-105K11L,,6
15,2,"R3, R25",2k7,71-CRCW06032K70FKEAH,,6
16,1,R4,330R,71-CRCW0603330RFKEAH,,3
17,1,R5,0R,,,3
18,5,"R6, R7, R8, R9, R24",10k,667-ERJ-3GEYJ103V,,15
19,1,R10,1k,603-AF0603JR-071KL,,3
20,1,R11,820R,603-AC0603JR-07820RL,,3
21,1,R12,5k1,660-RK73B1JTTDD512J,,3
22,1,R13,30k,755-ESR03EZPJ303,,3
23,3,"R14, R15, R23",4k7,660-RK73B1JTTD472J,,9
24,3,"R16, R17, R18",10k,667-ERJ-3GEYJ103V,,9
25,1,R19,33k,603-RC0603JR-0733KL,,3
26,1,R20,100k,667-ERJ-3EKF1003V,,3
27,1,R21,330R,755-SDR03EZPJ331,,3
28,1,R22,2k,791-WR06X2001FTL,,3
29,1,S1,nRST,612-TL3780AF240QG,,3
30,1,S2,BTN0,667-EVQP7J01P,,3
31,1,S3,BTN1,667-EVQP7J01P,,3
44,1,V1,AP9101CAK6-ABTRG1,621-AP9101CAK6ABTRG1,,3
45,1,V2,"SSM6N68NU,LF",757-SSM6N68NULF,,3
46,1,V3,SP0503BAHTG,576-SP0503BAHTG,,3
47,1,V4,ISL9110IRT7Z-T7A,968-ISL9110IRT7Z-T7A,,3
48,1,V5,BQ25606RGET,BQ25606RGET,,3
49,1,V6,nRF52810-QFxx,949-NRF52810-QCAA-T,,3
50,1,V7,DBG_LED,710-150060SS75000,,3
51,24,"V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31",green,710-150080GS75000,,48
52,1,V32,MXC4005XC,438-MXC4005XC,,3
53,1,V33,PCA9957HNMP,PCA9957HNMP,,2
54,1,V34,SFH 3710,SFH 3710-Z,,3
55,1,X1,USB_C_Receptacle_USB2.0,12401598E4#2A,,3
56,1,X2,Bat-Conn,,,3
57,1,X3,NTC-Conn,,,3
58,1,X4,SWD-Conn,,,3
59,1,X5,UART_Conn,,,3
60,1,Y1,32MHz,ECS-320-8-36CKM-TR3,,3
61,1,Y2,32.768k,ECS-.327-9-34B-C-TR,,3
